"","ensembl_gene_id","entrezgene_id","gene_biotype","transcript_biotype"
"1","ENSG00000160072",83858,"protein_coding","protein_coding"
"2","ENSG00000279928",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"3","ENSG00000228037",NA,"lncRNA","lncRNA"
"4","ENSG00000142611",63976,"protein_coding","protein_coding"
"5","ENSG00000284616",NA,"lncRNA","lncRNA"
"6","ENSG00000157911",5192,"protein_coding","protein_coding"
"7","ENSG00000269896",100129534,"transcribed_processed_pseudogene","processed_transcript"
"8","ENSG00000228463",NA,"transcribed_processed_pseudogene","processed_transcript"
"9","ENSG00000260972",NA,"lncRNA","lncRNA"
"10","ENSG00000224340",NA,"processed_pseudogene","processed_pseudogene"
"11","ENSG00000226374",105376672,"lncRNA","lncRNA"
"12","ENSG00000229280",NA,"processed_pseudogene","processed_pseudogene"
"13","ENSG00000142655",5195,"protein_coding","retained_intron"
"14","ENSG00000232596",NA,"lncRNA","lncRNA"
"15","ENSG00000235054",284661,"lncRNA","lncRNA"
"16","ENSG00000231510",NA,"lncRNA","lncRNA"
"17","ENSG00000149527",9651,"protein_coding","protein_coding"
"18","ENSG00000284739",NA,"lncRNA","lncRNA"
"19","ENSG00000171621",80176,"protein_coding","protein_coding"
"20","ENSG00000272235",NA,"lncRNA","lncRNA"
"21","ENSG00000284694",NA,"lncRNA","lncRNA"
"22","ENSG00000224387",NA,"lncRNA","lncRNA"
"23","ENSG00000285629",NA,"protein_coding","nonsense_mediated_decay"
"24","ENSG00000173673",390992,"protein_coding","protein_coding"
"25","ENSG00000142583",6518,"protein_coding","protein_coding"
"26","ENSG00000284674",105376680,"lncRNA","lncRNA"
"27","ENSG00000224338",NA,"processed_pseudogene","processed_pseudogene"
"28","ENSG00000116786",23207,"protein_coding","protein_coding"
"29","ENSG00000284703",NA,"lncRNA","lncRNA"
"30","ENSG00000226457",NA,"processed_pseudogene","processed_pseudogene"
"31","ENSG00000173614",64802,"protein_coding","protein_coding"
"32","ENSG00000215720",NA,"processed_pseudogene","processed_pseudogene"
"33","ENSG00000241326",NA,"lncRNA","lncRNA"
"34","ENSG00000233623",NA,"processed_pseudogene","processed_pseudogene"
"35","ENSG00000162592",148870,"protein_coding","retained_intron"
"36","ENSG00000116254",26038,"protein_coding","protein_coding"
"37","ENSG00000204624",57540,"protein_coding","protein_coding_CDS_not_defined"
"38","ENSG00000142606",79258,"protein_coding","protein_coding"
"39","ENSG00000225931",NA,"TEC","TEC"
"40","ENSG00000171729",55092,"protein_coding","protein_coding"
"41","ENSG00000279457",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"42","ENSG00000162571",254173,"protein_coding","protein_coding"
"43","ENSG00000229393",NA,"lncRNA","lncRNA"
"44","ENSG00000037637",54455,"protein_coding","protein_coding"
"45","ENSG00000159423",8659,"protein_coding","protein_coding"
"46","ENSG00000227169",NA,"lncRNA","lncRNA"
"47","ENSG00000283356",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"48","ENSG00000011021",1185,"protein_coding","protein_coding"
"49","ENSG00000142615",63036,"protein_coding","protein_coding_CDS_not_defined"
"50","ENSG00000215704",51032,"protein_coding","protein_coding_CDS_not_defined"
"51","ENSG00000157916",11079,"protein_coding","protein_coding"
"52","ENSG00000157881",55229,"protein_coding","protein_coding"
"53","ENSG00000238290",NA,"lncRNA","lncRNA"
"54","ENSG00000225387",NA,"lncRNA","lncRNA"
"55","ENSG00000048707",55187,"protein_coding","protein_coding"
"56","ENSG00000225196",NA,"processed_pseudogene","processed_pseudogene"
"57","ENSG00000162444",116362,"protein_coding","nonsense_mediated_decay"
"58","ENSG00000279625",NA,"TEC","TEC"
"59","ENSG00000180758",80045,"protein_coding","protein_coding"
"60","ENSG00000184677",9923,"protein_coding","protein_coding"
"61","ENSG00000224621",NA,"lncRNA","lncRNA"
"62","ENSG00000285833",NA,"lncRNA","lncRNA"
"63","ENSG00000131697",261734,"protein_coding","retained_intron"
"64","ENSG00000284692",NA,"lncRNA","lncRNA"
"65","ENSG00000284745",NA,"lncRNA","lncRNA"
"66","ENSG00000280222",NA,"TEC","TEC"
"67","ENSG00000285945",NA,"lncRNA","lncRNA"
"68","ENSG00000197921",388585,"protein_coding","protein_coding"
"69","ENSG00000233755",NA,"lncRNA","lncRNA"
"70","ENSG00000233929",NA,"processed_pseudogene","processed_pseudogene"
"71","ENSG00000271742",NA,"lncRNA","lncRNA"
"72","ENSG00000234166",NA,"lncRNA","lncRNA"
"73","ENSG00000235282",NA,"processed_pseudogene","processed_pseudogene"
"74","ENSG00000055070",26099,"protein_coding","protein_coding_CDS_not_defined"
"75","ENSG00000175087",149420,"protein_coding","protein_coding"
"76","ENSG00000157191",55707,"protein_coding","protein_coding"
"77","ENSG00000230035",NA,"lncRNA","lncRNA"
"78","ENSG00000225643",NA,"lncRNA","lncRNA"
"79","ENSG00000284666",NA,"lncRNA","lncRNA"
"80","ENSG00000228943",NA,"processed_pseudogene","processed_pseudogene"
"81","ENSG00000234397",NA,"processed_pseudogene","processed_pseudogene"
"82","ENSG00000284309",NA,"lncRNA","lncRNA"
"83","ENSG00000162511",7805,"protein_coding","protein_coding"
"84","ENSG00000158014",7780,"protein_coding","protein_coding"
"85","ENSG00000204138",65979,"protein_coding","protein_coding_CDS_not_defined"
"86","ENSG00000233419",NA,"processed_pseudogene","processed_pseudogene"
"87","ENSG00000235263",NA,"lncRNA","lncRNA"
"88","ENSG00000228176",NA,"lncRNA","lncRNA"
"89","ENSG00000231251",NA,"processed_pseudogene","processed_pseudogene"
"90","ENSG00000142675",10256,"protein_coding","protein_coding"
"91","ENSG00000197245",79927,"protein_coding","protein_coding"
"92","ENSG00000116237",23463,"protein_coding","protein_coding"
"93","ENSG00000130772",54797,"protein_coding","protein_coding_CDS_not_defined"
"94","ENSG00000215899",NA,"processed_pseudogene","processed_pseudogene"
"95","ENSG00000271398",NA,"lncRNA","lncRNA"
"96","ENSG00000225011",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"97","ENSG00000235069",NA,"processed_pseudogene","processed_pseudogene"
"98","ENSG00000284676",NA,"lncRNA","lncRNA"
"99","ENSG00000237058",NA,"lncRNA","lncRNA"
"100","ENSG00000233399",101929406,"lncRNA","lncRNA"
"101","ENSG00000090020",6548,"protein_coding","retained_intron"
"102","ENSG00000157978",26119,"protein_coding","protein_coding"
"103","ENSG00000226944",102724450,"lncRNA","lncRNA"
"104","ENSG00000130770",93974,"protein_coding","protein_coding"
"105","ENSG00000229044",NA,"lncRNA","lncRNA"
"106","ENSG00000162512",9672,"protein_coding","protein_coding"
"107","ENSG00000158006",5051,"protein_coding","protein_coding"
"108","ENSG00000214812",NA,"processed_pseudogene","processed_pseudogene"
"109","ENSG00000126698",22826,"protein_coding","protein_coding"
"110","ENSG00000229447",NA,"processed_pseudogene","processed_pseudogene"
"111","ENSG00000229607",NA,"lncRNA","lncRNA"
"112","ENSG00000130766",83667,"protein_coding","protein_coding"
"113","ENSG00000168528",347735,"protein_coding","protein_coding"
"114","ENSG00000196581",55966,"protein_coding","protein_coding"
"115","ENSG00000169403",5724,"protein_coding","protein_coding"
"116","ENSG00000084628",79570,"protein_coding","protein_coding"
"117","ENSG00000060688",9410,"protein_coding","protein_coding"
"118","ENSG00000171612",84275,"protein_coding","protein_coding"
"119","ENSG00000270927",NA,"processed_pseudogene","processed_pseudogene"
"120","ENSG00000188910",2707,"protein_coding","protein_coding"
"121","ENSG00000230523",101928460,"lncRNA","lncRNA"
"122","ENSG00000116138",23341,"protein_coding","protein_coding"
"123","ENSG00000158161",2140,"protein_coding","protein_coding"
"124","ENSG00000142684",51042,"protein_coding","protein_coding"
"125","ENSG00000121769",2170,"protein_coding","protein_coding"
"126","ENSG00000142627",1969,"protein_coding","protein_coding"
"127","ENSG00000284668",NA,"lncRNA","lncRNA"
"128","ENSG00000233234",NA,"lncRNA","lncRNA"
"129","ENSG00000142632",128272,"protein_coding","protein_coding_CDS_not_defined"
"130","ENSG00000234593",NA,"lncRNA","lncRNA"
"131","ENSG00000158292",387509,"protein_coding","protein_coding"
"132","ENSG00000270605",NA,"lncRNA","lncRNA"
"133","ENSG00000189337",23254,"protein_coding","protein_coding"
"134","ENSG00000235084",NA,"processed_pseudogene","processed_pseudogene"
"135","ENSG00000235143",400748,"lncRNA","lncRNA"
"136","ENSG00000225478",NA,"processed_pseudogene","processed_pseudogene"
"137","ENSG00000225077",NA,"lncRNA","lncRNA"
"138","ENSG00000028137",7133,"protein_coding","protein_coding"
"139","ENSG00000204464",727684,"lncRNA","lncRNA"
"140","ENSG00000233372",NA,"lncRNA","lncRNA"
"141","ENSG00000283259",NA,"lncRNA","lncRNA"
"142","ENSG00000284543",NA,"lncRNA","lncRNA"
"143","ENSG00000130939",10277,"protein_coding","protein_coding"
"144","ENSG00000175147",200197,"lncRNA","lncRNA"
"145","ENSG00000127472",5322,"protein_coding","protein_coding_CDS_not_defined"
"146","ENSG00000060656",10076,"protein_coding","protein_coding"
"147","ENSG00000163867",9204,"protein_coding","protein_coding_CDS_not_defined"
"148","ENSG00000232768",NA,"processed_pseudogene","processed_pseudogene"
"149","ENSG00000230214",NA,"processed_pseudogene","processed_pseudogene"
"150","ENSG00000189280",2709,"protein_coding","protein_coding"
"151","ENSG00000134698",192670,"protein_coding","protein_coding"
"152","ENSG00000134690",55143,"protein_coding","protein_coding"
"153","ENSG00000272420",NA,"lncRNA","lncRNA"
"154","ENSG00000132881",79363,"protein_coding","protein_coding"
"155","ENSG00000273274",728116,"protein_coding","protein_coding"
"156","ENSG00000116251",6146,"protein_coding","protein_coding"
"157","ENSG00000272510",NA,"lncRNA","lncRNA"
"158","ENSG00000158286",388591,"protein_coding","retained_intron"
"159","ENSG00000236648",NA,"lncRNA","lncRNA"
"160","ENSG00000232273",NA,"processed_pseudogene","processed_pseudogene"
"161","ENSG00000009709",5081,"protein_coding","protein_coding"
"162","ENSG00000223589",NA,"processed_pseudogene","processed_pseudogene"
"163","ENSG00000158008",2134,"protein_coding","protein_coding_CDS_not_defined"
"164","ENSG00000130940",54897,"protein_coding","protein_coding"
"165","ENSG00000116771",79814,"protein_coding","protein_coding"
"166","ENSG00000237301",NA,"lncRNA","lncRNA"
"167","ENSG00000163879",7802,"protein_coding","protein_coding"
"168","ENSG00000227527",NA,"lncRNA","lncRNA"
"169","ENSG00000116954",64121,"protein_coding","protein_coding"
"170","ENSG00000228589",NA,"processed_pseudogene","processed_pseudogene"
"171","ENSG00000163873",2899,"protein_coding","protein_coding"
"172","ENSG00000117215",26279,"protein_coding","protein_coding"
"173","ENSG00000196449",79693,"protein_coding","protein_coding"
"174","ENSG00000230163",NA,"lncRNA","lncRNA"
"175","ENSG00000227538",NA,"processed_pseudogene","processed_pseudogene"
"176","ENSG00000236500",NA,"processed_pseudogene","processed_pseudogene"
"177","ENSG00000044012",2981,"protein_coding","protein_coding"
"178","ENSG00000179051",55920,"protein_coding","protein_coding"
"179","ENSG00000215895",NA,"processed_pseudogene","processed_pseudogene"
"180","ENSG00000284650",124904027,"lncRNA","lncRNA"
"181","ENSG00000237329",NA,"processed_pseudogene","processed_pseudogene"
"182","ENSG00000236948",NA,"lncRNA","lncRNA"
"183","ENSG00000126067",5690,"protein_coding","protein_coding"
"184","ENSG00000274944",NA,"protein_coding","retained_intron"
"185","ENSG00000132906",842,"protein_coding","protein_coding"
"186","ENSG00000197312",84301,"protein_coding","protein_coding"
"187","ENSG00000284748",NA,"lncRNA","lncRNA"
"188","ENSG00000272078",NA,"lncRNA","lncRNA"
"189","ENSG00000173660",7388,"protein_coding","protein_coding"
"190","ENSG00000224592",NA,"lncRNA","lncRNA"
"191","ENSG00000233728",NA,"lncRNA","lncRNA"
"192","ENSG00000230451",NA,"processed_pseudogene","processed_pseudogene"
"193","ENSG00000231606",NA,"lncRNA","lncRNA"
"194","ENSG00000215900",NA,"processed_pseudogene","processed_pseudogene"
"195","ENSG00000284632",NA,"lncRNA","lncRNA"
"196","ENSG00000241014",653160,"transcribed_unitary_pseudogene","processed_transcript"
"197","ENSG00000054118",9967,"protein_coding","protein_coding"
"198","ENSG00000254553",NA,"protein_coding","nonsense_mediated_decay"
"199","ENSG00000284653",NA,"lncRNA","lncRNA"
"200","ENSG00000237749",NA,"processed_pseudogene","processed_pseudogene"
"201","ENSG00000276747",353238,"protein_coding","protein_coding"
"202","ENSG00000284705",NA,"lncRNA","lncRNA"
"203","ENSG00000228776",NA,"processed_pseudogene","processed_pseudogene"
"204","ENSG00000159339",23569,"protein_coding","protein_coding"
"205","ENSG00000197982",127687,"protein_coding","protein_coding"
"206","ENSG00000261781",101927876,"lncRNA","lncRNA"
"207","ENSG00000183317",284656,"protein_coding","nonsense_mediated_decay"
"208","ENSG00000183386",2275,"protein_coding","protein_coding_CDS_not_defined"
"209","ENSG00000284743",NA,"lncRNA","lncRNA"
"210","ENSG00000158315",54933,"protein_coding","protein_coding"
"211","ENSG00000204084",3633,"protein_coding","protein_coding"
"212","ENSG00000186973",440585,"protein_coding","protein_coding"
"213","ENSG00000146463",9202,"protein_coding","protein_coding"
"214","ENSG00000183520",51118,"protein_coding","protein_coding_CDS_not_defined"
"215","ENSG00000271741",NA,"protein_coding","nonsense_mediated_decay"
"216","ENSG00000214141",NA,"processed_pseudogene","processed_pseudogene"
"217","ENSG00000142686",127703,"protein_coding","protein_coding"
"218","ENSG00000224751",NA,"processed_pseudogene","processed_pseudogene"
"219","ENSG00000117148",81569,"protein_coding","protein_coding"
"220","ENSG00000230585",NA,"processed_pseudogene","processed_pseudogene"
"221","ENSG00000117000",6018,"protein_coding","protein_coding"
"222","ENSG00000284989",NA,"protein_coding","nonsense_mediated_decay"
"223","ENSG00000231630",NA,"lncRNA","lncRNA"
"224","ENSG00000092853",63967,"protein_coding","protein_coding"
"225","ENSG00000255811",NA,"lncRNA","lncRNA"
"226","ENSG00000134697",29889,"protein_coding","protein_coding_CDS_not_defined"
"227","ENSG00000187513",2701,"protein_coding","protein_coding"
"228","ENSG00000238145",NA,"processed_pseudogene","processed_pseudogene"
"229","ENSG00000225142",NA,"processed_pseudogene","processed_pseudogene"
"230","ENSG00000230138",NA,"lncRNA","lncRNA"
"231","ENSG00000223390",NA,"lncRNA","lncRNA"
"232","ENSG00000284720",124904023,"lncRNA","lncRNA"
"233","ENSG00000225671",NA,"processed_pseudogene","processed_pseudogene"
"234","ENSG00000116151",79906,"protein_coding","protein_coding"
"235","ENSG00000226147",NA,"processed_pseudogene","processed_pseudogene"
"236","ENSG00000006555",55001,"protein_coding","protein_coding"
"237","ENSG00000236111",NA,"processed_pseudogene","processed_pseudogene"
"238","ENSG00000066056",7075,"protein_coding","protein_coding"
"239","ENSG00000214114",26292,"protein_coding","protein_coding"
"240","ENSG00000116544",58512,"protein_coding","protein_coding"
"241","ENSG00000231900",NA,"processed_pseudogene","processed_pseudogene"
"242","ENSG00000236723",NA,"lncRNA","lncRNA"
"243","ENSG00000232467",NA,"processed_pseudogene","processed_pseudogene"
"244","ENSG00000117016",9783,"protein_coding","protein_coding"
"245","ENSG00000121310",55268,"protein_coding","protein_coding"
"246","ENSG00000169213",5865,"protein_coding","protein_coding"
"247","ENSG00000163866",113444,"protein_coding","nonsense_mediated_decay"
"248","ENSG00000225779",NA,"processed_pseudogene","processed_pseudogene"
"249","ENSG00000284601",105378736,"lncRNA","lncRNA"
"250","ENSG00000237130",NA,"processed_pseudogene","processed_pseudogene"
"251","ENSG00000143001",199964,"protein_coding","protein_coding"
"252","ENSG00000227416",NA,"processed_pseudogene","processed_pseudogene"
"253","ENSG00000232335",NA,"lncRNA","lncRNA"
"254","ENSG00000260971",NA,"lncRNA","lncRNA"
"255","ENSG00000259832",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"256","ENSG00000284696",105378712,"lncRNA","lncRNA"
"257","ENSG00000238242",NA,"lncRNA","lncRNA"
"258","ENSG00000285839",NA,"protein_coding","nonsense_mediated_decay"
"259","ENSG00000237290",339442,"lncRNA","lncRNA"
"260","ENSG00000232762",NA,"lncRNA","lncRNA"
"261","ENSG00000117419",79033,"protein_coding","protein_coding"
"262","ENSG00000162384",54987,"protein_coding","protein_coding"
"263","ENSG00000162391",338094,"protein_coding","protein_coding"
"264","ENSG00000174348",127435,"protein_coding","protein_coding"
"265","ENSG00000117859",114883,"protein_coding","protein_coding"
"266","ENSG00000228121",NA,"processed_pseudogene","processed_pseudogene"
"267","ENSG00000253313",149466,"protein_coding","protein_coding"
"268","ENSG00000162396",25973,"protein_coding","protein_coding"
"269","ENSG00000203995",440590,"protein_coding","protein_coding"
"270","ENSG00000284686",NA,"protein_coding","nonsense_mediated_decay"
"271","ENSG00000162378",79699,"protein_coding","protein_coding"
"272","ENSG00000233079",105378738,"lncRNA","lncRNA"
"273","ENSG00000259818",NA,"lncRNA","lncRNA"
"274","ENSG00000229444",101929592,"lncRNA","lncRNA"
"275","ENSG00000240563",54596,"protein_coding","protein_coding"
"276","ENSG00000234318",NA,"lncRNA","lncRNA"
"277","ENSG00000284773",NA,"protein_coding","protein_coding"
"278","ENSG00000234481",NA,"lncRNA","lncRNA"
"279","ENSG00000117862",51060,"protein_coding","protein_coding_CDS_not_defined"
"280","ENSG00000235612",NA,"lncRNA","lncRNA"
"281","ENSG00000228369",104355143,"lncRNA","lncRNA"
"282","ENSG00000183431",10946,"protein_coding","protein_coding"
"283","ENSG00000227485",NA,"lncRNA","lncRNA"
"284","ENSG00000224609",729467,"lncRNA","lncRNA"
"285","ENSG00000235545",NA,"lncRNA","lncRNA"
"286","ENSG00000236646",NA,"processed_pseudogene","processed_pseudogene"
"287","ENSG00000232198",NA,"processed_pseudogene","processed_pseudogene"
"288","ENSG00000238063",NA,"lncRNA","lncRNA"
"289","ENSG00000227104",NA,"transcribed_unprocessed_pseudogene","transcribed_unprocessed_pseudogene"
"290","ENSG00000243725",7268,"protein_coding","protein_coding"
"291","ENSG00000171872",128209,"protein_coding","protein_coding"
"292","ENSG00000162407",8613,"protein_coding","protein_coding"
"293","ENSG00000285079",NA,"lncRNA","lncRNA"
"294","ENSG00000169218",284654,"protein_coding","protein_coding"
"295","ENSG00000163877",79753,"protein_coding","protein_coding"
"296","ENSG00000228929",NA,"processed_pseudogene","processed_pseudogene"
"297","ENSG00000224570",NA,"processed_pseudogene","processed_pseudogene"
"298","ENSG00000224980",NA,"processed_pseudogene","processed_pseudogene"
"299","ENSG00000278967",NA,"TEC","TEC"
"300","ENSG00000157184",1376,"protein_coding","protein_coding"
"301","ENSG00000198815",22887,"protein_coding","protein_coding"
"302","ENSG00000134744",23318,"protein_coding","protein_coding"
"303","ENSG00000233910",NA,"processed_pseudogene","processed_pseudogene"
"304","ENSG00000283039",105378952,"protein_coding","protein_coding"
"305","ENSG00000229032",NA,"processed_pseudogene","processed_pseudogene"
"306","ENSG00000229294",NA,"lncRNA","lncRNA"
"307","ENSG00000232993",NA,"lncRNA","lncRNA"
"308","ENSG00000234088",NA,"processed_pseudogene","processed_pseudogene"
"309","ENSG00000236973",NA,"processed_pseudogene","processed_pseudogene"
"310","ENSG00000277397",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"311","ENSG00000271200",NA,"lncRNA","lncRNA"
"312","ENSG00000235446",NA,"lncRNA","lncRNA"
"313","ENSG00000261196",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"314","ENSG00000162385",4116,"protein_coding","protein_coding"
"315","ENSG00000234264",101927220,"lncRNA","lncRNA"
"316","ENSG00000242391",NA,"lncRNA","lncRNA"
"317","ENSG00000223883",105378785,"lncRNA","lncRNA"
"318","ENSG00000284808",NA,"lncRNA","lncRNA"
"319","ENSG00000237227",NA,"processed_pseudogene","processed_pseudogene"
"320","ENSG00000275350",NA,"processed_pseudogene","processed_pseudogene"
"321","ENSG00000116652",NA,"lncRNA","lncRNA"
"322","ENSG00000123080",1031,"protein_coding","protein_coding"
"323","ENSG00000285778",NA,"lncRNA","lncRNA"
"324","ENSG00000233407",NA,"lncRNA","lncRNA"
"325","ENSG00000225675",105378732,"lncRNA","lncRNA"
"326","ENSG00000237622",NA,"processed_pseudogene","processed_pseudogene"
"327","ENSG00000162598",127795,"protein_coding","protein_coding_CDS_not_defined"
"328","ENSG00000280317",NA,"TEC","TEC"
"329","ENSG00000162415",57643,"protein_coding","protein_coding"
"330","ENSG00000162600",115209,"protein_coding","protein_coding_CDS_not_defined"
"331","ENSG00000116704",23169,"protein_coding","protein_coding"
"332","ENSG00000227644",NA,"processed_pseudogene","processed_pseudogene"
"333","ENSG00000157193",7804,"protein_coding","protein_coding"
"334","ENSG00000116205",127428,"protein_coding","nonsense_mediated_decay"
"335","ENSG00000198841",112970,"protein_coding","protein_coding"
"336","ENSG00000116212",115353,"protein_coding","protein_coding"
"337","ENSG00000234204",NA,"processed_pseudogene","processed_pseudogene"
"338","ENSG00000233099",NA,"lncRNA","lncRNA"
"339","ENSG00000233994",NA,"processed_pseudogene","processed_pseudogene"
"340","ENSG00000233973",101927295,"lncRNA","lncRNA"
"341","ENSG00000237552",110806286,"lncRNA","lncRNA"
"342","ENSG00000132854",163782,"protein_coding","protein_coding"
"343","ENSG00000227556",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"344","ENSG00000162607",7398,"protein_coding","protein_coding"
"345","ENSG00000233602",100874278,"lncRNA","lncRNA"
"346","ENSG00000233271",NA,"lncRNA","lncRNA"
"347","ENSG00000285954",NA,"lncRNA","lncRNA"
"348","ENSG00000233333",NA,"processed_pseudogene","processed_pseudogene"
"349","ENSG00000154027",26289,"protein_coding","protein_coding"
"350","ENSG00000234108",NA,"processed_pseudogene","processed_pseudogene"
"351","ENSG00000232676",NA,"processed_pseudogene","processed_pseudogene"
"352","ENSG00000225167",NA,"processed_pseudogene","processed_pseudogene"
"353","ENSG00000213579",NA,"processed_pseudogene","processed_pseudogene"
"354","ENSG00000137960",54810,"protein_coding","protein_coding_CDS_not_defined"
"355","ENSG00000237852",NA,"lncRNA","lncRNA"
"356","ENSG00000116745",6121,"protein_coding","protein_coding"
"357","ENSG00000132855",27329,"protein_coding","protein_coding"
"358","ENSG00000285407",NA,"lncRNA","lncRNA"
"359","ENSG00000272855",NA,"lncRNA","lncRNA"
"360","ENSG00000270549",NA,"processed_pseudogene","processed_pseudogene"
"361","ENSG00000237163",NA,"processed_pseudogene","processed_pseudogene"
"362","ENSG00000229636",NA,"processed_pseudogene","processed_pseudogene"
"363","ENSG00000116675",9829,"protein_coding","protein_coding_CDS_not_defined"
"364","ENSG00000162433",205,"protein_coding","protein_coding_CDS_not_defined"
"365","ENSG00000213625",54741,"protein_coding","protein_coding"
"366","ENSG00000227207",NA,"processed_pseudogene","processed_pseudogene"
"367","ENSG00000227016",NA,"lncRNA","lncRNA"
"368","ENSG00000233664",NA,"processed_pseudogene","processed_pseudogene"
"369","ENSG00000158966",57685,"protein_coding","protein_coding"
"370","ENSG00000213703",NA,"processed_pseudogene","processed_pseudogene"
"371","ENSG00000203965",84455,"protein_coding","protein_coding_CDS_not_defined"
"372","ENSG00000223479",NA,"lncRNA","lncRNA"
"373","ENSG00000233674",NA,"processed_pseudogene","processed_pseudogene"
"374","ENSG00000153898",255231,"protein_coding","protein_coding"
"375","ENSG00000117069",81849,"protein_coding","protein_coding"
"376","ENSG00000125703",84938,"protein_coding","protein_coding"
"377","ENSG00000285041",NA,"lncRNA","lncRNA"
"378","ENSG00000285808",NA,"lncRNA","lncRNA"
"379","ENSG00000229440",NA,"processed_pseudogene","processed_pseudogene"
"380","ENSG00000234144",NA,"processed_pseudogene","processed_pseudogene"
"381","ENSG00000213540",NA,"processed_pseudogene","processed_pseudogene"
"382","ENSG00000277670",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"383","ENSG00000227466",101927139,"lncRNA","lncRNA"
"384","ENSG00000154007",127247,"protein_coding","protein_coding"
"385","ENSG00000230498",NA,"lncRNA","lncRNA"
"386","ENSG00000285782",NA,"lncRNA","lncRNA"
"387","ENSG00000162618",64123,"protein_coding","protein_coding"
"388","ENSG00000224493",NA,"processed_pseudogene","processed_pseudogene"
"389","ENSG00000131233",81025,"protein_coding","protein_coding"
"390","ENSG00000272371",NA,"lncRNA","lncRNA"
"391","ENSG00000229225",NA,"lncRNA","lncRNA"
"392","ENSG00000230863",NA,"transcribed_processed_pseudogene","processed_transcript"
"393","ENSG00000225598",NA,"lncRNA","lncRNA"
"394","ENSG00000225087",NA,"lncRNA","lncRNA"
"395","ENSG00000280378",NA,"TEC","TEC"
"396","ENSG00000188786",4520,"protein_coding","protein_coding"
"397","ENSG00000230053",NA,"processed_pseudogene","processed_pseudogene"
"398","ENSG00000137941",79739,"protein_coding","protein_coding_CDS_not_defined"
"399","ENSG00000224326",NA,"lncRNA","lncRNA"
"400","ENSG00000066135",9682,"protein_coding","protein_coding"
"401","ENSG00000230027",NA,"lncRNA","lncRNA"
"402","ENSG00000233061",100874314,"lncRNA","lncRNA"
"403","ENSG00000272094",NA,"lncRNA","lncRNA"
"404","ENSG00000228853",100852409,"lncRNA","lncRNA"
"405","ENSG00000215874",NA,"processed_pseudogene","processed_pseudogene"
"406","ENSG00000232453",105378753,"lncRNA","lncRNA"
"407","ENSG00000260386",149086,"transcribed_unitary_pseudogene","processed_transcript"
"408","ENSG00000284895",NA,"protein_coding","protein_coding"
"409","ENSG00000117174",54680,"protein_coding","protein_coding"
"410","ENSG00000237413",149047,"lncRNA","lncRNA"
"411","ENSG00000184313",374977,"protein_coding","protein_coding_CDS_not_defined"
"412","ENSG00000284645",NA,"lncRNA","lncRNA"
"413","ENSG00000225605",NA,"lncRNA","lncRNA"
"414","ENSG00000225446",NA,"lncRNA","lncRNA"
"415","ENSG00000122420",5737,"protein_coding","protein_coding"
"416","ENSG00000284240",101927844,"lncRNA","lncRNA"
"417","ENSG00000236290",NA,"processed_pseudogene","processed_pseudogene"
"418","ENSG00000143013",8543,"protein_coding","protein_coding"
"419","ENSG00000226084",NA,"processed_pseudogene","processed_pseudogene"
"420","ENSG00000134748",84950,"protein_coding","protein_coding"
"421","ENSG00000142892",10026,"protein_coding","protein_coding"
"422","ENSG00000219102",NA,"processed_pseudogene","processed_pseudogene"
"423","ENSG00000184005",256435,"protein_coding","protein_coding"
"424","ENSG00000230953",NA,"processed_pseudogene","processed_pseudogene"
"425","ENSG00000229332",NA,"processed_pseudogene","processed_pseudogene"
"426","ENSG00000227937",NA,"processed_pseudogene","processed_pseudogene"
"427","ENSG00000229752",NA,"processed_pseudogene","processed_pseudogene"
"428","ENSG00000237505",101927891,"lncRNA","lncRNA"
"429","ENSG00000285462",NA,"lncRNA","lncRNA"
"430","ENSG00000233216",NA,"processed_pseudogene","processed_pseudogene"
"431","ENSG00000197273",2980,"protein_coding","protein_coding"
"432","ENSG00000226804",NA,"processed_pseudogene","processed_pseudogene"
"433","ENSG00000285325",NA,"lncRNA","lncRNA"
"434","ENSG00000230728",NA,"lncRNA","lncRNA"
"435","ENSG00000232846",NA,"processed_pseudogene","processed_pseudogene"
"436","ENSG00000230787",NA,"processed_pseudogene","processed_pseudogene"
"437","ENSG00000116641",85440,"protein_coding","protein_coding_CDS_not_defined"
"438","ENSG00000223920",NA,"processed_pseudogene","processed_pseudogene"
"439","ENSG00000237453",NA,"lncRNA","lncRNA"
"440","ENSG00000172260",257194,"protein_coding","protein_coding"
"441","ENSG00000285473",NA,"lncRNA","lncRNA"
"442","ENSG00000237959",NA,"processed_pseudogene","processed_pseudogene"
"443","ENSG00000231364",105375358,"lncRNA","lncRNA"
"444","ENSG00000234578",NA,"lncRNA","lncRNA"
"445","ENSG00000117480",2166,"protein_coding","protein_coding"
"446","ENSG00000137944",56267,"protein_coding","protein_coding_CDS_not_defined"
