# Gene set generated on 2022-09-20T13:31:02 using cellxgene version 1.1.0,,,
# Input data file was BloodGlyco.h5ad, which was last modified on 2022-09-16T10:10:25,,
gene_set_name,gene_set_description,gene_symbol,gene_description
all_regulators,,GNPTG,
all_regulators,,GNPTAB,
all_regulators,,NAGPA,
all_regulators,,HYOU1,
all_regulators,,SEL1L,
all_regulators,,OS9,
all_regulators,,DNAJC10,
all_regulators,,HSPA5,
all_regulators,,LMAN2,
all_regulators,,DNAJB11,
all_regulators,,CANX,
all_regulators,,IGF2R,
all_regulators,,M6PR,
all_regulators,,ERLEC1,
all_regulators,,CALR,
all_regulators,,HSP90B1,
all_synth,,MAN2A2,
all_synth,,XXYLT1,
all_synth,,B4GALT3,
all_synth,,EXT2,
all_synth,,MAN1A2,
all_synth,,GALNT8,
all_synth,,ALG10B,
all_synth,,GCNT2,
all_synth,,DDOST,
all_synth,,SIAE,
all_synth,,B4GALT6,
all_synth,,DAD1,
all_synth,,B3GAT3,
all_synth,,ALG1L,
all_synth,,B3GNT6,
all_synth,,C1GALT1,
all_synth,,CHST3,
all_synth,,B3GLCT,
all_synth,,PIGU,
all_synth,,POMT2,
all_synth,,EXTL2,
all_synth,,PIGN,
all_synth,,CHST10,
all_synth,,GLCE,
all_synth,,TMTC2,
all_synth,,PIGH,
all_synth,,MGAT5,
all_synth,,PIGF,
all_synth,,DSEL,
all_synth,,GALNT16,
all_synth,,DPM3,
all_synth,,ST6GAL1,
all_synth,,B3GAT2,
all_synth,,RFNG,
all_synth,,ST8SIA4,
all_synth,,B3GALNT2,
all_synth,,CASD1,
all_synth,,GALNT12,
all_synth,,GANAB,
all_synth,,PIGO,
all_synth,,LFNG,
all_synth,,ST8SIA6,
all_synth,,PLOD2,
all_synth,,GXYLT2,
all_synth,,TMTC4,
all_synth,,FUT4,
all_synth,,XYLT2,
all_synth,,COLGALT1,
all_synth,,GALNT18,
all_synth,,ST6GAL2,
all_synth,,DPAGT1,
all_synth,,ALG5,
all_synth,,ST6GALNAC5,
all_synth,,PIGG,
all_synth,,GALNT14,
all_synth,,PIGX,
all_synth,,PIGY,
all_synth,,MGAT4A,
all_synth,,POGLUT1,
all_synth,,ALG6,
all_synth,,MGAT2,
all_synth,,POFUT2,
all_synth,,EDEM3,
all_synth,,OGT,
all_synth,,MAN1B1,
all_synth,,B4GALT5,
all_synth,,TMTC1,
all_synth,,POGLUT2,
all_synth,,ALG1,
all_synth,,ST3GAL2,
all_synth,,OGA,
